"sra_id","marine surface","hot spring","human ear","human vagina","other water","built environment","chemical vessel","human","microbial mat","human blood","human respiratory","marine","sludge","saltern","human eye","mine","human wound","rock","food","soil","human gut","human urogenital","marine coastal","biofilm","marine deep","sand","mine drainage","clay","contaminated water","marine benthic","human liver","human bone","human skin","sediment","fresh water","plant","spring","fungus","biogas material","animal","waste water","bone","oil","mud","hypersaline lake","solid environmental material","air","human brain","coal mine","percent_unique_kmer","percent_16S","percent_phage","percent_Prokaryote","percent_human","source"
"SRR2005724","0","0.032084140223279996","0","0","0.02406310516746","0","0","0.01604207011164","0","0","0.00802103505582","0.036094657751189994","0.00802103505582","0","0","0","0.00401051752791","0","0.00401051752791","0.036094657751189994","0.06817879797446999","0.00401051752791","0","0.00401051752791","0","0","0","0","0","0.00401051752791","0","0.00401051752791","0.00401051752791","0.02406310516746","0","0.02005258763955","0","0","0","0.05614724539073999","0.012031552583730001","0","0.00802103505582","0.00802103505582","0","0.00401051752791","0","0","0","80.420429","0.05","0.01","6.61","47.94","human skin"
"SRR2005639","0","0.8736879806064","0.0970764422896","0.3883057691584","1.456146634344","0.2912293268688","0.1941528845792","1.941528845792","0","0.5824586537376","1.456146634344","1.0678408651856","0.1941528845792","0","0","0","0.3883057691584","0.0970764422896","1.5532230766336","1.941528845792","2.8152168263984","0.5824586537376","0.0970764422896","0.0970764422896","0","0","0","0","0","0.1941528845792","0","0","0.1941528845792","0.3883057691584","0.0970764422896","1.0678408651856","0","0","0","2.8152168263984","0.485382211448","0","0.0970764422896","0.1941528845792","0","0.0970764422896","0.1941528845792","0","0.0970764422896","71.1976114","0.2","0.15","36.63","14.95","human skin"
"SRR1647482","0","0","0","0","2.210774478939","0","0","7.872604140050001","0","0.229848422359","1.40588482495","1.87608163802","1.61666037521","0.00576868021024","0","0","0","0","1.38691965751","23.7708103714903","35.824540021713425","4.1130270665","0","0","0","0","0","0","0","0","0","0","0","2.910092959758","11.630738802491","3.3702887258829004","0","0","0","1.15892073583","0","0","0","0","0","0.617039099047","0","0","0","55.5048146","0.2","0.3","31.16","0.00","human skin"
"SRR1950711","0","3.308015396994","0","0","4.80869089894","0","0","26.8776122241483","0","0.139965073502","1.04064472136","7.297968385989699","0","2.28567898462","0","0","0","0","0","1.6531708590691","2.111929503945","0.0314631632936","0","0","0","0","0","0","0","0","0","0","0","1.318827964282","0","0.5487479807019999","0.445714944269","0","0","41.6992929828455","0","0","6.26995315469","0","0","0","0.162323761314","0","0","79.5506013","0.03","0.04","5.06","0.01","human skin"
"SRR1647570","0","0","0","0","1.6523888872949999","0","0","5.030202127557","0","0","0","2.07865842517","2.91336242222","2.59364455368","0","0","0","0","1.30331771057","22.8212407805689","42.053511581076","3.27305153249","0","0","0","0","0","0","0","0","0","0","0","0.634723922436","9.282215085467","1.82203911821","0","0","0","4.5416438531839995","0","0","0","0","0","0","0","0","0","54.1975178","0.13","0.17","25.68","0.00","human skin"
"SRR1647006","1.03684022407","4.639141439274","0","1.02318466706","0","0","0","18.944919370656","0","0","0.911021239451","5.821154588534","0","14.88512225812","0","0","0","0","0","5.07098485329","25.1504750449361","0.423964921325","0","0","0","0","0","0","0","0","0","0","0","0.15007102899","0","0.18643757795059998","0","0","0","11.370373705557999","5.76746280198","0","1.738311070004","0.574353848569","0.195996314907","2.11018504531","0","0","0","59.5417942","0.17","0.18","33.11","0.07","human skin"
"SRR1647029","0","13.33531362332","0","0","1.27284797764","0","0","3.034774883246","0","0","1.11081809792","1.00971534271","1.89919932329","16.6029848248","0","0","0","0","0","6.2592649644680005","39.04717697232","0.0590830571363","0","0","0","0","0","0","0","0","0","0","0","1.72363073864","0","1.07074265818","0","0","0","12.369786351957499","0","0","1.20466118429","0","0","0","0","0","0","77.2784067","0.07","0.11","3.08","0.09","human skin"
"SRR1950747","0","0.181565116582","0","0","13.38497363446","0","0","2.11149173792062","0","1.244592351555","1.20438286262414","15.648911635040001","2.40709342209","0","0","0","0","0","0.308722394079","2.6868084294517","4.0972946957929","0.788614685165","0","0","0","0","0","0","0","0.0878000681875","0","0","0.460422859968","13.739859592045","0","0.5654637374009","0","0","0","29.612733239062297","0","0","3.55638354442","6.934988142598","0","0.191793081217","0.786104770372","0","0","84.2162111","0.03","0.03","7.82","0.02","human skin"
"SRR1950736","0","0.41495425869392","0","0.8847848191","14.737661570561501","0","0","8.004188465366099","0.0161469521078","0.0772754521802","4.0971297932085","18.81189284248","0.245726081157","0","0","0","0","0","0.108196432164","3.0302556678015002","6.272126396972699","1.632587655776","0","0","0","0","0","0","0","0.0455781532867","0","0","0.413444242127","6.325561439314","0.0238847149046","0.803322504861","0","0","0","20.954272548859898","0","0","3.25615762927","5.494815201352001","0","0","0.734762545137","3.61527463329","0","86.1433842","0.07","0.05","7.34","0.01","human skin"
"SRR1646983","0.0191987044637","1.635425906834","0","0","3.061849626692","0","0","9.35704684593","0","0.301123020513","0.69552156959","3.20352621557","0.0462158976724","21.11605460815","0","0","0","0","0","4.6837839425959995","34.633565107259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.6229874195474","0","0","4.276779894273001","2.34692124082","0","0","0","0","0","61.1526539","0.14","0.13","30.65","0.07","human skin"
"SRR1647243","0","0.0796630960241","0","0","18.1839563273516","0","0","3.7083678394579795","0","3.7362824682899998","1.51250086672081","16.572638182383","0.558198464629","0","0","0","0","0","1.09697757719","3.7054423484113","15.127612535422","5.1466283974","0","0","0","0","0","0","0","0.176162868037","0","0","0.130140695437","4.765728900013","0.118581374633","0.3997549046542","0","0","0","15.775417253004901","1.3641963032468","0","4.02562867721","3.6215518803449998","0","0.194569040142","0","0","0","90.4385069","0.04","0.03","10.36","0.01","human skin"
"SRR1647032","0","7.364549839121","0","0","1.80479443472","0","0.0346346513478","10.5942613281","0","0","0.329684655238","0.30754565979","0","18.359447349859","0","0","0","0","0.2406555058296","6.1472759278000995","41.902164655429004","0.202900634995","0","0","0","0","0","0","0","0","0","0","0","0.0771332705734","0","0.7215489991925601","0","0","0","10.9527954059953","0","0","0.96060768206","0","0","0","0","0","0","63.7408365","0.17","0.16","35.99","0.06","human skin"
