sra_id,sand,plant,hot spring,food,human skin,sludge,mine,human,coal mine,chemical vessel,clay,contaminated water,microbial mat,marine,human brain,marine coastal,human ear,gaseous environmental material,soil,saltern,hypersaline lake,fungus,solid environmental material,liquid environmental material,sediment,human blood,animal,human mouth,marine deep,human wound,human vagina,air,fresh water,oil,spring,built environment,mud,biofilm,marine benthic,rock,solid waste,waste water,marine surface,other water,mine drainage,human lungs,human urogenital,human gut,human nose,human bone,percent_unique_kmer,percent_16S,percent_phage,percent_Prokaryote,source
SRR2183699,0,8.124447357,5.827262795,0,0,1.999299714,0,9.517618401,0,0,0,0,0,1.554465117,0,0,0,0,6.353653865,0.006432992,0.113203182,0,2.426195581,2.709729793,14.74272117,2.260928162,16.39917564,0,0,0,0.84123988,0.004317637,1.585626725,1.044433726,0,0.437506271,0.010552094,0.25999565,0,0,0,2.227091798,0,11.17612468,0,0.771572077,0.665124314,8.941281376,0,0,99.0051341,0.09,0.04,7.03,air
SRR2183675,0,6.461251771,5.244702846,1.704916777,0,1.124517578,0,13.69187721,0,0.221249583,0,0,0,0.569215328,0,0,0,0,4.891000458,0,0,0,0.815411554,5.606935726,18.01049576,0,8.635541231,0,0,0,2.319403785,0,2.933671667,0,0,0,0.897283491,0,0,0,0,0,0,14.65963199,0,1.195743787,2.260553199,6.472208723,2.284387537,0,95.0572636,0.11,0.08,10.5,air
SRR999208,0,0,0,0,0,1.300118345,0,14.97065775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.371530137,16.45791503,30.73827804,0,0,0,0,0,4.126143262,0,0,0,0,0,0,0,0,0,20.13328656,0,0,0,5.902070882,0,0,23.1589797,0.69,3.02,11.02,air
SRR2183703,0,9.725310917,2.507887937,1.18602803,0,1.332485507,0,11.13584247,0,0.088324903,0,0,0,0.340495707,0,0,0,0.018522816,9.013452245,0.308512041,0,0,2.875219377,2.843502634,15.98560109,0,10.02482155,0,0,0,2.049467679,0,1.504653271,0.427431845,0,0,1.765952607,0.479860816,0,0,0,1.356148827,0,14.2755749,0,0.247376534,2.351334802,8.156191493,0,0,98.7933425,0.04,0.05,8.39,air
SRR2183697,0,4.906627937,0.341086001,0,0,1.318974212,0,4.975987031,0.812523081,2.585140427,0,0,0,0,0,0.190194368,0,0,24.53030419,2.460191154,0.550832443,0,0.678390259,2.604781692,12.31002192,7.078463669,6.004081413,0.100694004,0,0,0.511319263,0,2.800462922,0,0,0,0.578841523,0,0,0,0,0.603672534,0,19.43911904,0,0.522507611,0.471393217,3.624390092,0,0,99.6115944,0.04,0.01,5.72,air
SRR2183688,0,5.871437979,5.877918508,0.478999897,0,1.810627545,0,8.167208803,0,0,0,0,0,0,0,0,0,0,5.300842443,0,0,0,0.921650865,5.52663527,18.66224804,0,14.58527036,0,0,0,2.092850859,0,2.106744827,0.408493337,0,0,1.836870452,0.041090087,0,0,0,0.016127484,0,16.05960987,0,0,2.419735015,7.670874923,0.144263661,0,97.8893939,0.08,0.06,5.24,air
SRR2183705,0.459844195,6.429816709,3.728021115,0.263482014,0,2.250358406,0,10.10833448,0,0,0,0,0,0.078633145,0,0,0,0,4.803720052,0,0,0,1.684896605,5.115086595,14.38963793,0.451088911,12.47663595,0,0,0,2.034653835,0,1.865096248,0.822216576,0,0,1.883535929,0.07303945,0,0,0,0.340734723,0,15.4100629,0,0.767397201,3.608499255,10.95520777,0,0,95.9117051,0.11,0.08,8.15,air
SRR999217,0,0,0,0,0,0,0,0.863241366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204681151,90.57139779,0,0,0,0,0,7.360679691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8225038,0,2.31,7.59,air
SRR2183691,0,10.16408773,3.150475922,2.149556519,0,0,0,11.60897286,0.627540241,0,0,0,0,3.224969909,0,0,0,0,18.99271582,3.632860531,0,0,0.242767755,2.483918818,5.498592788,0.007589516,5.238055048,0.555837266,0.94577675,0,0.540742296,0,1.936171406,0,0,0,1.058867708,0,0,0,0,0.217115534,0,7.749233737,0,0,10.48562376,6.864538866,2.623989218,0,98.5786086,0.21,0.06,22.33,air
SRR2183738,0,1.825382156,10.00155081,0.47291597,0,3.518111864,0,9.3843962,0,0,0,0,0,1.262324716,0,0,0,0,1.015387627,3.201979681,1.172176085,0,4.133966782,0,9.836081028,0,19.99880114,0,0.212491922,0,0,0,0,0.596521687,0.188347586,0,0,1.834103127,0,0,0,0,0,29.05300939,0,0,0,2.292452239,0,0,96.4810452,0.01,0,2.46,air
SRR2183689,0,8.82210879,4.835205757,0,0,1.573801747,0,6.583985084,0,0.154064173,0,0,0,0,0,0,0,0,1.045044607,0.127511092,1.189876633,0,0,4.923562922,9.347641307,4.932882098,20.69898756,6.870903416,0,0,0,0,1.27771123,0,0,0,0,1.344348573,0,0,0,3.384856115,0,17.63059947,0,0,0.830589616,4.426319817,0,0,95.6440683,0.05,0.31,8.45,air
SRR2183679,0,0.822235263,9.180966604,0.648992529,0,2.178850556,0,8.54018672,0,0,0,0,0,0,0,0,0,0,3.748309733,0.768841,0.443050179,0,5.267268237,0,8.045381783,0,26.65834156,0,0,0,0,0,0,0,0,0,0,2.393506941,0,0,0,0.323723835,0,29.81514437,0,0,0,1.165200696,0,0,95.0399573,0.04,0.01,1.59,air
SRR2183722,0,7.799706009,2.42517438,0,0,3.18638401,0,7.719363214,0,0.993924802,0,0,0,0.313637154,0,0.434913478,0,0,12.26034068,0.508938063,0,0,0.326259433,2.567063347,13.48490935,5.604682921,13.24483852,0.713054705,0,0,0,0,3.276983798,0,0,0,0,0,0,0,0,0.819906323,0,15.73885269,0,0,0.835686908,7.74538022,0,0,99.4940388,0.11,0.01,4.41,air
SRR1000260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6525853,0,1.08,5.68,air
SRR5381720,0,8.485848686,2.693220573,0,0,1.269658815,5.724235554,1.538204825,0.088558958,0,0,0,0,1.224828067,0,0,0,0,2.491038552,2.357954094,0,0,0.034597906,1.397429797,6.937829055,0,24.30297293,2.133188772,0,0,0,0,0.297058113,0,0,0,0.017909535,0,0,0,0,2.902831692,0,23.45809461,0,0,0.167950845,12.47658862,0,0,98.04946216,0.13,0,5.18,air
